index,model_name,embedding_type,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bert,bert,1700,115,True,768,0.6418205499649048,76.2450110912323,1.2381171703338623,61.11983597278595,1.0284761190414429,62.90731430053711,0.6290007241129618,0.6290007241129618,0.6290007241129618,0.6145799171716827,0.5742217620286539,0.6145799171716827,0.632241232685862,0.6290007241129618,0.610830330975733,0.03543341687017999,1.3184475821266994,0.04401857334662881,0.44158505360648265,0.006318562739783345,0.3248437706811506,0.0032654292188030965,0.0032654292188030965,0.0032654292188030965,0.009450337083335467,0.004688162341592251,0.009450337083335467,0.00613266718689664,0.0032654292188030965,0.00539904397113821
1,roberta,roberta,1700,115,True,768,0.7248745263,73.04198921,1.191419196,61.18470549,1.0381352426,62.632151240000006,0.6262853004999999,0.6262853004999999,0.6262853004999999,0.6111317399,0.5691756808000001,0.6111317399,0.6293281471000001,0.6262853004999999,0.607136603,0.05028902002719216,1.6412239689575365,0.04010916109986643,0.3982988651442745,0.006596933903604225,0.23860994386217296,0.0023760030089208972,0.0023760030089208972,0.0023760030089208972,0.011416471692149922,0.006844225379422429,0.011416471692149922,0.007059380694425799,0.0023760030089208972,0.006507188018375966
2,gpt2,gpt2,1700,115,True,768,0.8350247383117676,69.12882208824158,1.2412378072738648,60.17753481864929,1.1288203120231628,61.04272186756134,0.6105358435916002,0.6105358435916002,0.6105358435916002,0.6006664728671923,0.5450886800914827,0.6006664728671923,0.6141530699269037,0.6105358435916002,0.5901607935544304,0.04067302627225808,1.220447793075953,0.043677738983191126,0.28162856425138943,0.01564514139493928,0.9823833869426679,0.009902169367425488,0.009902169367425488,0.009902169367425488,0.014532495018084872,0.01892225015015088,0.014532495018084872,0.010646320408460048,0.009902169367425488,0.011241410026926605
3,dialogpt,dialogpt,1700,115,True,768,0.8789454698064514,67.5527256681778,1.323068368434674,57.03653216420349,1.2250240564254944,56.69804513786498,0.5669080376166545,0.5669080376166545,0.5669080376166545,0.583557490618384,0.4843977514209068,0.583557490618384,0.5880124153248708,0.5669080376166545,0.5406142407315372,0.06736078341516112,2.7025503372247797,0.04750704660555437,1.8327253021014083,0.04640692915664605,1.8516470567768275,0.01844459739107721,0.01844459739107721,0.01844459739107721,0.014048994908536554,0.022575281748023084,0.014048994908536554,0.015197639152697912,0.01844459739107721,0.020856425498935745
4,xlnet,xlnet,1700,115,True,768,0.8066323459000001,69.81236815000001,1.2548809409,61.20518985,1.0919844865000001,61.61115231000001,0.6161115133,0.6161115133,0.6161115133,0.6011376934999999,0.5581151577,0.6011376934999999,0.6188303128000001,0.6161115133,0.5944941336,0.034827016933530866,1.0116519842247824,0.047861891759940024,0.5087076379058044,0.013798247686239228,0.7810224317064195,0.007810225695392083,0.007810225695392083,0.007810225695392083,0.01813158167625206,0.01238684391904909,0.01813158167625206,0.014005712690237827,0.007810225695392083,0.011225659930320967
5,convert,convert,1700,115,True,512,0.6715891019999999,73.98804119999998,1.5816480800000001,58.15856349999999,1.1064062,60.9382174,0.6093772628530052,0.6093772628530052,0.6093772628530052,0.6020992473533324,0.5523325333417344,0.6020992473533324,0.6165204205461483,0.6093772628530052,0.5908479449326333,0.0024364527521050024,0.13461708441583958,0.012442691824324462,0.21371533907786164,0.02213210192874694,0.6263265871625724,0.006339033554411383,0.006339033554411383,0.006339033554411383,0.013830902966576667,0.007966317915248183,0.013830902966576667,0.009060367578924039,0.006339033554411383,0.005396494780860455
6,elmo,elmo,1700,115,True,1024,0.850098867,69.49048210000001,1.26502157,58.3375252,1.1096162500000002,60.4446825,0.6045619116582188,0.6045619116582188,0.6045619116582188,0.5856017147516888,0.5439908169732838,0.5856017147516888,0.6067303954458589,0.6045619116582188,0.5854150620895601,0.00995027493125919,0.37175284045942997,0.008348176787518726,0.2144482242489139,0.012910241351840742,0.35450922215907194,0.0035301280495554873,0.0035301280495554873,0.0035301280495554873,0.005465922132283403,0.005946971051132841,0.005465922132283403,0.003572748618045668,0.0035301280495554873,0.002774840773290597
7,use,use,1700,115,True,512,1.04264585,63.2520324,1.17915896,59.3547387,1.0922432299999998,60.6716945,0.606770456191166,0.606770456191166,0.606770456191166,0.5864389881050359,0.5543617025605021,0.5864389881050359,0.6082411235043693,0.606770456191166,0.5891627254475995,0.0019442973099411186,0.09175204910723668,0.004176349227149378,0.21639557281774835,0.007452502629027871,0.5605107888112716,0.005473456364196938,0.005473456364196938,0.005473456364196938,0.009663750512907673,0.005084138924161024,0.009663750512907673,0.004993668901299871,0.005473456364196938,0.004596429734390113
8,mlstm char lm,mlstm_char_lm,1700,115,True,4096,0.8665299509999999,68.86439320000001,1.29065193,58.49516560000001,1.11600317,60.7873548,0.6078566256335989,0.6078566256335989,0.6078566256335989,0.6074824615943906,0.5544814294991048,0.6074824615943906,0.6234828227247317,0.6078566256335989,0.5937388663893954,0.009905302481249895,0.36088140899279286,0.012322900654386924,0.27274493907809305,0.008671063518014619,0.6269750304115047,0.006283647584195695,0.006283647584195695,0.006283647584195695,0.015279499360248992,0.007166850412426224,0.015279499360248992,0.0072515330174659385,0.006283647584195695,0.004724239328423455
9,nnlm,nnlm,1700,115,True,128,1.36749615,54.867654300000005,1.4339857799999998,52.440483300000004,1.24009569,56.64870560000001,0.5670166545981173,0.5670166545981173,0.5670166545981173,0.5121908369889433,0.47584775896446035,0.5121908369889433,0.5480862254350141,0.5670166545981173,0.5385093808948783,0.001842784130511925,0.10378844349289462,0.0022734684382140803,0.1833591915988639,0.002424488482798428,0.23913384207649313,0.002410388736146391,0.002410388736146391,0.002410388736146391,0.019116311446164217,0.0032204976344299466,0.019116311446164217,0.008722728804384619,0.002410388736146391,0.003179891855287939
