,precision,recall,f1-score,support
sd,0.7748201438848921,0.8177676537585421,0.7957148134466198,1317
b,0.7407407407407407,0.9424083769633508,0.8294930875576036,764
sv,0.6395193591455274,0.6671309192200557,0.6530334014996592,718
%,0.7749287749287749,0.7793696275071633,0.7771428571428571,349
aa,0.7364341085271318,0.45893719806763283,0.5654761904761905,207
ba,0.7407407407407407,0.7894736842105263,0.7643312101910827,76
qy,0.6451612903225806,0.7142857142857143,0.6779661016949152,84
ny,0.0,0.0,0.0,73
fc,0.7352941176470589,0.6172839506172839,0.6711409395973154,81
qw,0.7291666666666666,0.6363636363636364,0.6796116504854369,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.8333333333333334,0.17857142857142858,0.29411764705882354,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.5555555555555556,0.1388888888888889,0.22222222222222227,36
bh,0.4782608695652174,0.5238095238095238,0.5,21
^q,0.4,0.11764705882352941,0.1818181818181818,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",1.0,0.06666666666666667,0.125,15
na,0.0,0.0,0.0,10
ad,0.6666666666666666,0.2962962962962963,0.41025641025641024,27
^2,0.05263157894736842,0.05263157894736842,0.05263157894736842,19
b^m,0.5,0.09523809523809523,0.16,21
qo,0.5909090909090909,0.8125,0.6842105263157896,16
qh,0.5714285714285714,0.3333333333333333,0.4210526315789474,12
^h,0.3333333333333333,0.14285714285714285,0.2,7
ar,0.0,0.0,0.0,3
ng,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
br,0.6666666666666666,0.2222222222222222,0.3333333333333333,9
no,0.0,0.0,0.0,6
fp,1.0,0.6,0.7499999999999999,5
qrr,1.0,0.5,0.6666666666666666,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,1.0,1.0,1.0,1
qw^d,0.0,0.0,0.0,1
fa,0.6666666666666666,1.0,0.8,2
ft,0.0,0.0,0.0,7
micro avg,0.7241294752329573,0.7241294752329573,0.7241294752329572,4078
macro avg,0.4836633466813986,0.37151769853910804,0.38678729602924034,4078
weighted avg,0.6999022914885039,0.7241294752329573,0.7009237326378609,4078
